,Tide Time,Tide Height(m),Tide Type,Sunset,TwilightEnd,Day of week,Date,Recommended sailing window
0,15:45:56,5.47,H,21:13:15,21:57:39,Friday,10/07/2020,13:00 - 18:00
1,14:50:05,6.36,H,20:58:46,21:40:13,Friday,24/07/2020,12:30 - 17:30
2,14:35:43,5.82,H,20:37:06,21:15:28,Friday,07/08/2020,12:00 - 17:00
3,13:46:26,6.74,H,20:10:23,20:46:12,Friday,21/08/2020,11:30 - 16:30
4,13:33:08,5.99,H,19:40:31,20:14:31,Friday,04/09/2020,11:00 - 16:00
5,12:41:23,6.87,H,19:09:07,19:42:06,Friday,18/09/2020,10:00 - 15:00
6,12:34:19,5.96,H,18:37:34,19:10:19,Friday,02/10/2020,10:00 - 15:00
7,11:33:57,6.69,H,18:07:16,18:40:31,Friday,16/10/2020,09:00 - 14:00
8,14:21:34,5.3,H,16:27:44,17:02:54,Friday,06/11/2020,12:00 - 17:00
